city,stratum,cell_id,donor_cell_id,profile_level,context_distance,area_m2
Fuzhou,Hilly,Fuzhou_116.368885_27.934237,Fuzhou_116.368885_27.938728,upper,0.51703936260944738,55094.484617413102
Fuzhou,Hilly,Fuzhou_116.371131_27.963432,Fuzhou_116.335198_27.949957,upper,0.30932186320119698,55079.591790657985
Fuzhou,Hilly,Fuzhou_116.377868_27.927499,Fuzhou_116.375622_27.925254,upper,0.24288387220822988,55097.919392188916
Fuzhou,Hilly,Fuzhou_116.389097_27.985890,Fuzhou_116.386851_28.006102,upper,0.20943792247037366,55068.126038438262
Fuzhou,Hilly,Fuzhou_116.393588_27.943220,Fuzhou_116.404817_27.929745,upper,0.61375162174726217,55089.903732649771
Fuzhou,Hilly,Fuzhou_116.400326_27.940974,Fuzhou_116.389097_27.929745,upper,0.21534068321781955,55091.04908072955
Ganzhou,Hilly,Ganzhou_114.785604_25.710906,Ganzhou_114.823783_25.719889,moderate,0.48094981951060645,56186.326541782662
Ganzhou,Hilly,Ganzhou_114.790096_25.722135,Ganzhou_114.781113_25.719889,moderate,0.20886196766211468,56181.023400009079
Ganzhou,Hilly,Ganzhou_114.837257_25.724381,Ganzhou_114.859715_25.751331,moderate,0.2714263738347919,56179.962512674618
Ganzhou,Hilly,Ganzhou_114.852978_25.841162,Ganzhou_114.861961_25.856883,moderate,0.28988179558463806,56124.677472077718
Ganzhou,Hilly,Ganzhou_114.857469_25.753576,Ganzhou_114.855224_25.749085,moderate,0.24915844387066502,56166.16312368017
Ganzhou,Hilly,Ganzhou_114.893402_25.838916,Ganzhou_114.906877_25.877095,moderate,0.24427219056910177,56125.742845456429
Ganzhou,Hilly,Ganzhou_114.913614_25.843408,Ganzhou_114.904631_25.886078,moderate,0.29661726270442446,56123.61201232532
Ganzhou,Hilly,Ganzhou_114.945055_25.820950,Ganzhou_114.987725_25.856883,moderate,0.4723513682649621,56134.26272824419
Ganzhou,Hilly,Ganzhou_114.967513_25.829933,Ganzhou_114.803570_25.708661,moderate,0.44302346137173471,56130.003476735823
Ganzhou,Hilly,Ganzhou_114.992217_25.838916,Ganzhou_114.960776_25.868112,moderate,0.51704498187031578,56125.742845456429
Ganzhou,Hilly,Ganzhou_114.724968_25.695186,Ganzhou_114.727214_25.690694,primary,0.33718469124917699,56193.747314672895
